Month,New Customers,Total Customers,Churned Customers,MRR (EUR),ARR (EUR),ARPU (EUR),CAC (EUR),LTV (EUR),Gross Margin %,Operating Expenses (EUR),Net Revenue (EUR),Cumulative Revenue (EUR),Cumulative Costs (EUR),Break-even (Y/N)
1,15,15,0,375,4500,25,675,500,85,8000,-8056.25,318.75,8731.25,N
2,16,30,2,750,9000,25,720,500,85,8000,-7637.50,956.25,17368.75,N
3,17,45,2,1125,13500,25,765,500,85,8000,-7218.75,1593.75,26571.25,N
4,18,61,2,1525,18300,25,810,500,85,8000,-6793.75,2289.38,36375.00,N
5,19,77,3,1925,23100,25,855,500,85,8000,-6362.50,3023.13,47236.25,N
6,21,95,4,2375,28500,25,945,500,85,8000,-5881.25,3841.88,59122.50,N
7,22,113,5,2825,33900,25,990,500,85,8000,-5398.75,4700.63,72112.50,N
8,24,132,6,3300,39600,25,1080,500,85,8000,-4895.00,5595.00,86007.50,N
9,26,152,7,3800,45600,25,1170,500,85,8000,-4370.00,6525.00,100377.50,N
10,28,173,8,4325,51900,25,1260,500,85,8000,-3823.75,7501.25,115631.25,N
11,30,195,9,4875,58500,25,1350,500,85,8000,-3256.25,8544.38,131987.50,N
12,32,218,10,5450,65400,25,1440,500,85,8000,-2667.50,9676.88,149655.00,N
13,35,243,11,6075,72900,25,1575,500,85,8000,-2036.25,10903.13,168691.25,N
14,38,270,12,6750,81000,25,1710,500,85,8000,-1362.50,12266.25,189053.75,N
15,41,298,14,7450,89400,25,1845,500,85,8000,-661.25,13603.75,210715.00,N
16,44,328,15,8200,98400,25,1980,500,85,8000,90.00,15050.00,233695.00,N
17,47,360,16,9000,108000,25,2115,500,85,8000,865.00,16650.00,257830.00,N
18,51,395,18,9875,118500,25,2295,500,85,8000,1693.75,18343.75,283125.00,N
19,55,432,20,10800,129600,25,2475,500,85,8000,2580.00,20180.00,309600.00,N
20,59,471,22,11775,141300,25,2655,500,85,8000,3508.75,22188.75,337255.00,N
21,64,513,24,12825,153900,25,2880,500,85,8000,4501.25,24501.25,366135.00,N
22,69,558,26,13950,167400,25,3105,500,85,8000,5557.50,27057.50,396240.00,N
23,75,607,28,15175,182100,25,3375,500,85,8000,6698.75,29823.75,427615.00,N
24,81,660,30,16500,198000,25,3645,500,85,8000,7925.00,32825.00,460260.00,N
25,87,717,33,17925,215100,25,3915,500,85,8000,9236.25,36061.25,494175.00,N
26,94,778,36,19450,233400,25,4230,500,85,8000,10632.50,39693.75,529405.00,N
27,102,844,39,21100,253200,25,4590,500,85,8000,12135.00,43885.00,565995.00,N
28,110,915,42,22875,274500,25,4950,500,85,8000,13743.75,48543.75,604695.00,N
29,119,992,46,24800,297600,25,5355,500,85,8000,15480.00,53680.00,645050.00,N
30,129,1075,50,26875,322500,25,5805,500,85,8000,17343.75,59343.75,687855.00,N
31,139,1164,54,29100,349200,25,6255,500,85,8000,19335.00,65435.00,733110.00,Y
32,150,1260,58,31500,378000,25,6750,500,85,8000,21475.00,72175.00,780860.00,Y
33,162,1322,63,33050,396600,25,7290,500,85,8000,22592.50,78092.50,832410.00,Y
34,175,1434,66,35850,430200,25,7875,500,85,8000,24472.50,85572.50,887285.00,Y
35,189,1557,72,38925,467100,25,8505,500,85,8000,26486.25,94086.25,945790.00,Y
36,204,1633,78,40825,489900,25,9180,500,85,8000,26701.25,98983.75,1008570.00,Y